2011-02-23 22:46:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/app/plugins/facebook/views/helpers/facebook.php, line 417]
2011-02-23 22:56:21 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 22:56:21 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 22:57:49 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 22:57:49 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 22:58:00 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 22:58:00 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 22:58:22 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 22:58:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 22:59:10 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 22:59:10 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 22:59:31 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 22:59:31 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 23:00:04 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 23:00:04 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 23:00:06 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 23:00:06 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 23:00:14 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 23:00:14 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 23:00:38 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 23:00:38 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 23:00:40 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 23:00:40 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
2011-02-23 23:01:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/app/config/database.php:2) in [/Applications/MAMP/htdocs/cake/libs/controller/controller.php, line 691]
2011-02-23 23:01:50 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/app/config/database.php:2) in [/Applications/MAMP/htdocs/cake/libs/controller/controller.php, line 691]
2011-02-23 23:02:23 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/app/config/database.php:2) in [/Applications/MAMP/htdocs/cake/libs/controller/controller.php, line 691]
2011-02-23 23:03:42 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo_source.php, line 549]
2011-02-23 23:03:42 Warning: Warning (2): Invalid argument supplied for foreach() in [/Applications/MAMP/htdocs/cake/libs/model/datasources/dbo/dbo_mysql.php, line 474]
